,CO,IA,MA,MT,NE,NJ,WI,AZ,IL,MD,MO,TX
,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,testimony,testimony,testimony,testimony,testimony
target_ftm,,,,,,,,,,,,
"FINANCE, INSURANCE & REAL ESTATE_COMMERCIAL BANKS",-0.012165050139733683,-0.005722460658082976,-0.005437055625261397,-0.007142857142857143,0.0,0.0,-0.007407407407407408,-0.015037593984962405,-0.00504266873545384,0.0,-0.038461538461538464,-0.0020325203252032522
"FINANCE, INSURANCE & REAL ESTATE_CREDIT UNIONS",0.0,-0.004291845493562232,-0.0037641154328732747,-0.002380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,-0.032051282051282055,0.0
"FINANCE, INSURANCE & REAL ESTATE_FINANCE & CREDIT COMPANIES",-0.0023014959723820483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FINANCE, INSURANCE & REAL ESTATE_INSURANCE",-0.004289151584893818,-0.0004768717215069146,-0.003136762860727729,-0.006746031746031746,0.0,-0.002596053997923157,-0.001851851851851852,0.0,-0.0025490413388008426,-0.010924369747899159,0.0,-0.005962059620596206
"FINANCE, INSURANCE & REAL ESTATE_MISCELLANEOUS FINANCE",-0.0023014959723820483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023273855702094647,0.0,-0.038461538461538464,0.0
"FINANCE, INSURANCE & REAL ESTATE_MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",-0.0030686612965093976,0.0,0.0,0.0,0.0,0.0,-0.007407407407407408,0.0,0.0,0.0,0.0,0.0
"FINANCE, INSURANCE & REAL ESTATE_PAYDAY/TITLE LOANS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016260162601626016
"FINANCE, INSURANCE & REAL ESTATE_REAL ESTATE",-0.03164556962025317,-0.00965665236051502,-0.02532223109387476,-0.00634920634920635,-0.005330490405117271,-0.003894080996884735,-0.07592592592592592,-0.023391812865497075,-0.0035481221192899194,-0.011204481792717087,-0.01346153846153846,-0.003953451299218875
"FINANCE, INSURANCE & REAL ESTATE_SAVINGS & LOANS",0.0,-0.002145922746781116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008403361344537815,0.0,0.0
"FINANCE, INSURANCE & REAL ESTATE_SECURITIES & INVESTMENT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012412723041117144,0.0,0.0,0.0
"GENERAL BUSINESS_BEER, WINE & LIQUOR",-0.005370157268891447,-0.002145922746781116,-0.0075282308657465494,0.0,0.0,-0.006230529595015576,0.0,0.0,-0.0024566847685544347,0.0,0.0,0.0
GENERAL BUSINESS_BUSINESS ASSOCIATIONS,-0.06534247260719468,-0.013233190271816882,-0.024018641333572323,-0.02,-0.01990049751243781,-0.045393858477970624,-0.05740740740740741,-0.03990746096009254,-0.011138202371716725,-0.015294117647058823,-0.009615384615384616,-0.00679970436067997
GENERAL BUSINESS_BUSINESS SERVICES,-0.0015343306482546988,-0.000715307582260372,-0.0018820577164366374,-0.007142857142857143,0.0,0.0,-0.005555555555555556,-0.002506265664160401,-0.0007757951900698216,-0.0004801920768307323,0.0,-0.004336043360433604
GENERAL BUSINESS_CHEMICAL & RELATED MANUFACTURING,-0.010740314537782894,-0.001430615164520744,-0.009284818067754077,0.0,0.0,-0.06386292834890965,-0.014814814814814815,-0.0037593984962406013,-0.04215153866046031,0.0,0.0,-0.032520325203252036
GENERAL BUSINESS_FOOD & BEVERAGE,-0.0038358266206367474,-0.001430615164520744,-0.0002509410288582183,0.0,0.0,-0.006230529595015576,-0.022222222222222223,-0.03007518796992481,-0.0014407624958439544,-0.03529411764705882,0.0,-0.0016260162601626016
GENERAL BUSINESS_GAMBLING & CASINOS,0.0,-0.002145922746781116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01568627450980392,0.0,0.0
GENERAL BUSINESS_LODGING & TOURISM,-0.0034522439585730723,-0.004291845493562232,0.0,-0.004761904761904762,-0.014925373134328358,0.0,0.0,-0.00835421888053467,-0.0007757951900698216,0.0,0.0,-0.001084010840108401
GENERAL BUSINESS_MISCELLANEOUS BUSINESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012745206694004213,0.0,0.0,-0.0016260162601626016
GENERAL BUSINESS_MISCELLANEOUS MANUFACTURING & DISTRIBUTING,-0.0018411967779056386,-0.0006131207847946045,-0.012128816394813885,-0.004761904761904762,-0.004975124378109453,0.0,-0.014814814814814815,-0.02631578947368421,-0.025047101850825666,-0.0030252100840336134,0.0,-0.012507817385866166
GENERAL BUSINESS_MISCELLANEOUS SERVICES,-0.0011507479861910242,0.0,-0.002509410288582183,0.0,0.0,0.0,0.0,-0.007518796992481203,-0.0032583397982932504,0.0,-0.003605769230769231,0.0
GENERAL BUSINESS_RECREATION & LIVE ENTERTAINMENT,-0.007671653241273495,-0.001430615164520744,0.0,0.0,0.0,0.0,-0.025925925925925925,0.0,-0.0004848719937936385,0.0,0.0,-0.0008130081300813008
GENERAL BUSINESS_RETAIL SALES,-0.006904487917146145,0.0,-0.020075282308657464,-0.002380952380952381,-0.0037313432835820895,-0.003115264797507788,0.0,-0.022556390977443608,-0.001206792517886389,-0.01134453781512605,-0.01730769230769231,-0.008130081300813009
GOVERNMENT AGENCIES/EDUCATION/OTHER_CIVIL SERVANTS/PUBLIC OFFICIALS,-0.01385500575373993,-0.004291845493562232,-0.0015056461731493098,-0.009173669467787115,-0.014351320321469576,-0.015576323987538939,-0.020875420875420877,-0.006727344677483181,-0.002603360143752089,-0.002702936844841029,-0.007525083612040134,-0.003525887890457852
GOVERNMENT AGENCIES/EDUCATION/OTHER_CLERGY,-0.009205983889528193,-0.002145922746781116,0.0,0.0,0.0,-0.01557632398753894,-0.011111111111111112,-0.005012531328320802,-0.0021426724297166503,-0.004033613445378151,0.0,-0.0008130081300813008
GOVERNMENT AGENCIES/EDUCATION/OTHER_EDUCATION,-0.003507041481725026,-0.0018393623543838135,-0.0004182350480970305,-0.0054421768707483,-0.001990049751243781,-0.007009345794392523,-0.007407407407407408,-0.003609022556390977,-0.0021262534838950666,-0.0032941176470588237,0.0,-0.0023228803716608595
GOVERNMENT AGENCIES/EDUCATION/OTHER_MILITARY,0.0,-0.002145922746781116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007563025210084034,0.0,0.0
