state_long,Seats,Senate,sen_dem_ct,sen_rep_ct,other,House,hou_dem_ct,hou_rep_ct,other,year,st
New Mexico,112,42,25,17,0,70,38,32,0,2013,NM
New York,213,63,33,30,0,150,107,43,0,2013,NY
North Carolina,170,50,18,32,0,120,43,77,0,2013,NC
North Dakota,141,47,13,33,1v,94,23,71,0,2013,ND
Ohio,132,33,10,23,0,99,39,60,0,2013,OH
Oklahoma,149,48,12,36,0,101,29,72,0,2013,OK
Oregon,90,30,16,14,0,60,34,26,0,2013,OR
Pennsylvania,253,50,23,27,0,203,93,110,0,2013,PA
Rhode Island,113,38,32,5,1,75,69,6,0,2013,RI
South Carolina,170,46,18,28,0,124,46,73,5,2013,SC
South Dakota,105,35,7,28,0,70,17,53,0,2013,SD
Tennessee,132,33,7,26,0,99,28,70,1,2013,TN
Texas,181,31,12,19,0,150,55,95,0,2013,TX
Utah,104,29,5,24,0,75,14,61,0,2013,UT
Vermont,180,30,22,6,2,150,96,45,9,2013,VT
Virginia,140,40,20,20,0,100,31,67,"1, 1V",2013,VA
Washington,147,49,26,23,0,98,55,43,0,2013,WA
West Virginia,134,34,25,9,0,100,54,46,0,2013,WV
Wisconsin,132,33,15,18,0,99,39,60,0,2013,WI
Wyoming,90,30,4,26,0,60,8,52,0,2013,WY
Alabama,140,35,11,23,1,105,37,66,"1, 1v",2014,AL
Alaska,60,20,7,13,0,40,14,26,0,2014,AK
Arizona,90,30,12,17,1v,60,24,36,0,2014,AZ
Arkansas,135,35,13,22,0,100,48,51,1,2014,AR
California,120,40,28,11,1v,80,55,25,0,2014,CA
Colorado,100,35,18,17,0,65,37,28,0,2014,CO
Connecticut,187,36,21,14,1v,151,98,53,0,2014,CT
Delaware,62,21,13,8,0,41,27,14,0,2014,DE
Florida,160,40,14,26,0,120,45,74,1v,2014,FL
Georgia,236,56,18,38,0,180,60,119,1,2014,GA
Hawaii,76,25,24,1,0,51,44,7,0,2014,HI
Idaho,105,35,7,28,0,70,13,57,0,2014,ID
Illinois,177,59,40,19,0,118,71,47,0,2014,IL
Indiana,150,50,13,37,0,100,31,69,0,2014,IN
Iowa,150,50,26,24,0,100,47,53,0,2014,IA
Kansas,165,40,8,32,0,125,33,92,0,2014,KS
Kentucky,138,38,14,23,1,100,54,46,0,2014,KY
Louisiana,144,39,13,26,0,105,44,59,2,2014,LA
Maine,186,35,19,15,1,151,89,58,4,2014,ME
Maryland,188,47,36,11,0,141,98,43,0,2014,MD
Massachusetts,200,40,36,4,0,160,131,29,0,2014,MA
Michigan,148,38,12,26,0,110,51,59,0,2014,MI
Minnesota,201,67,39,28,0,134,73,61,0,2014,MN
Mississippi,174,52,20,32,0,122,57,65,0,2014,MS
Missouri,197,34,9,24,1v,163,52,108,3v,2014,MO
Montana,150,50,21,29,0,100,38,61,1v,2014,MT
Nebraska,49,49,,,49,,,,,2014,NE
Nevada,63,21,11,10,0,42,27,15,0,2014,NV
New Hampshire,424,24,11,13,0,400,220,179,1v,2014,NH
New Jersey,120,40,24,16,0,80,48,32,0,2014,NJ
New Mexico,112,42,25,17,0,70,37,33,0,2014,NM
New York,213,63,32,29,2v,150,100,40,10v,2014,NY
North Carolina,170,50,17,33,0,120,43,77,0,2014,NC
North Dakota,141,47,14,33,0,94,23,71,0,2014,ND
Ohio,132,33,10,23,0,99,39,60,0,2014,OH
Oklahoma,149,48,12,36,0,101,29,72,0,2014,OK
Oregon,90,30,16,14,0,60,34,26,0,2014,OR
Pennsylvania,253,50,23,27,0,203,92,111,0,2014,PA
Rhode Island,113,38,32,5,1,75,69,6,0,2014,RI
South Carolina,170,46,18,28,0,124,46,78,0,2014,SC
South Dakota,105,35,7,28,0,70,17,53,0,2014,SD
Tennessee,132,33,7,26,0,99,27,71,1,2014,TN
Texas,181,31,12,19,0,150,55,95,0,2014,TX
Utah,104,29,5,24,0,75,14,61,0,2014,UT
Vermont,180,30,21,7,2,150,93,47,10,2014,VT
Virginia,140,40,19,20,1v,100,33,67,0,2014,VA
Washington,147,49,25,24,0,98,55,43,0,2014,WA
West Virginia,134,34,24,10,0,100,53,47,0,2014,WV
Wisconsin,132,33,15,18,0,99,39,60,0,2014,WI
Wyoming,90,30,4,26,0,60,8,52,0,2014,WY
Alabama,140,35,8,26,1,105,33,72,,2015,AL
Alaska,60,20,6,14,,40,16,23,1,2015,AK
Arizona,90,30,13,17,,60,22,38,,2015,AZ
Arkansas,135,35,11,24,,100,36,64,,2015,AR
California,120,40,25,14,1v,80,52,28,,2015,CA
Colorado,100,35,17,18,,65,33,32,,2015,CO
Connecticut,187,36,21,15,,151,87,64,,2015,CT
Delaware,62,21,12,9,,41,25,16,,2015,DE
Florida,160,40,14,26,,120,37,82,1v,2015,FL
Georgia,236,56,18,38,,180,59,120,1,2015,GA
Hawaii,76,25,24,1,,51,43,8,,2015,HI
Idaho,105,35,7,28,,70,14,56,,2015,ID
Illinois,177,59,39,20,,118,71,47,,2015,IL
Indiana,150,50,10,40,,100,30,70,,2015,IN
Iowa,150,50,26,24,,100,43,57,,2015,IA
Kansas,165,40,8,32,,125,27,98,,2015,KS
Kentucky,138,38,12,26,,100,54,46,,2015,KY
Louisiana,144,39,13,26,,105,44,59,2,2015,LA
Maine,186,35,15,20,,151,79,68,4,2015,ME
Maryland,188,47,32,14,1u,141,90,51,,2015,MD
Massachusetts,200,40,34,6,,160,125,35,,2015,MA
Michigan,148,38,11,27,,110,47,63,,2015,MI
Minnesota,201,67,39,28,,134,62,72,,2015,MN
Mississippi,174,52,20,31,1v,122,56,66,,2015,MS
Missouri,197,34,9,25,,163,45,117,1u,2015,MO
Montana,150,50,21,29,,100,41,59,,2015,MT
Nebraska,49,49,,,49,,,,,2015,NE
Nevada,63,21,10,11,,42,15,27,,2015,NV
New Hampshire,424,24,10,14,,400,160,239,1,2015,NH
New Jersey,120,40,24,16,,80,48,32,,2015,NJ
New Mexico,112,42,25,17,,70,33,37,,2015,NM
New York,213,63,31,32,,150,106,44,,2015,NY
North Carolina,170,50,16,34,,120,46,74,,2015,NC
North Dakota,141,47,16,31,,94,23,71,,2015,ND
Ohio,132,33,10,23,,99,34,65,,2015,OH
Oklahoma,149,48,8,40,,101,29,72,,2015,OK
Oregon,90,30,18,12,,60,35,25,,2015,OR
Pennsylvania,253,50,20,30,,203,84,119,,2015,PA
Rhode Island,113,38,32,5,1,75,63,11,1,2015,RI
South Carolina,170,46,18,28,,124,46,78,,2015,SC
South Dakota,105,35,8,27,,70,12,58,,2015,SD
Tennessee,132,33,5,28,,99,26,73,,2015,TN
Texas,181,31,11,20,,150,52,98,,2015,TX
Utah,104,29,4,23,2v,75,12,63,,2015,UT
Vermont,180,30,20,9,1,150,84,54,12,2015,VT
Virginia,140,40,19,21,,100,32,67,1v,2015,VA
Washington,147,49,24,25,,98,50,43,5u,2015,WA
West Virginia,134,34,16,18,,100,36,64,,2015,WV
Wisconsin,132,33,14,19,,99,36,63,,2015,WI
Wyoming,90,30,4,26,,60,9,51,,2015,WY
Alabama,140,35,8,26,1,105,33,72,,2016,AL
Alaska,60,20,6,14,,40,16,23,1,2016,AK
Arizona,90,30,13,17,,60,24,36,,2016,AZ
Arkansas,135,35,11,24,,100,36,64,,2016,AR
California,120,40,25,14,1v,80,52,28,,2016,CA
Colorado,100,35,17,18,,65,34,31,,2016,CO
Connecticut,187,36,20,15,1,151,87,64,,2016,CT
Delaware,62,21,12,9,,41,25,16,,2016,DE
Florida,160,40,14,26,,120,39,81,,2016,FL
Georgia,236,56,17,39,,180,61,118,1,2016,GA
Hawaii,76,25,24,1,,51,44,7,,2016,HI
Idaho,105,35,7,28,,70,14,56,,2016,ID
Illinois,177,59,39,20,,118,71,47,,2016,IL
Indiana,150,50,10,40,,100,30,70,,2016,IN
Iowa,150,50,26,24,,100,43,57,,2016,IA
Kansas,165,40,8,32,,125,28,97,,2016,KS
Kentucky,138,38,11,27,,100,52,44,4v,2016,KY
Louisiana,144,39,14,25,,105,42,61,2,2016,LA
Maine,186,35,15,20,,151,77,70,4,2016,ME
Maryland,188,47,33,14,,141,91,50,,2016,MD
Massachusetts,200,40,33,5,2v,160,123,34,3v,2016,MA
Michigan,148,38,11,27,,110,46,61,3v,2016,MI
Minnesota,201,67,39,27,1v,134,61,72,1v,2016,MN
Mississippi,174,52,20,32,,122,49,73,,2016,MS
Missouri,197,34,9,25,,163,45,117,1,2016,MO
Montana,150,50,21,29,,100,41,59,,2016,MT
